Recipe,Multiplier
arthropod-blood,1.3793759793027847e-07
guar-4-guarpulse,0.00026507648094638547
soaked-gel,50.896241647007535
bonemeal4,0.03420167050903937
resilin,0.7080412838088056
sponge-pure-sand,0.00015585198960701142
active-carbon,0.0011304881144066285
yotoi-cellulose,0.18474909011860532
stopper,1.9367556163596767e-05
purified-quartz,0.04309224440487491
coalbed-gas-to-refsyngas,75.25254187677179
ammonium-oxalate,0.644102640356913
th-dust,1.0400834465323323e-05
xyhiphoe-2-hot-cold,59.96489957858287
molten-nexelit-03,0.0005831375108662694
sl-01-2,0.03029684053142266
rare-earth-beneficiation,0.8200761772545063
sodium-bisulfate,57.943907177646025
slacked-lime-seaweed-recycle,0.010070652150552594
slacked-lime-from-seaweed,323.8994593585863
ppd,0.09856574485143399
dms,0.0035799935289078915
industrial-solvent,0.09340498177312365
zinc-acetate,39.09031108690225
hotair-empty-petri-dish,0.0026323936904619357
hotair-casting-bolts,0.009354621715060846
molten-stainless-steel,9.582649089615728e-06
high-tin-concentrate,0.6049305602288654
oleochemicals-3,0.00038948340138605366
jelly-to-kerosene-02,0.009319943156415517
bacteria-1,0.3638602381378119
purified-gold,0.0002720630124848345
molten-titanium-01,0.0008540594950824894
niobium-complex,0.00010843306096164378
vpulp5,0.0062636192206620795
low-distillate-to-btx,3.906320521152501e-08
tar-refining,0.03639901609481908
ree-concentrate3,0.6050481362141782
sodium-silicate,2.3128325221899186
btx-to-benzene,16.768719491858956
btx-to-ethylene,0.9916408673384182
log6-cheap,4.313758645150066
boron-mixture,4.277832300639602e-05
poison-capsule,1.4664314176876992e-08
stone-wall,3.219864340353161e-07
caged-xeno-4-dna-polymerase,0.00017101352642486924
anthraquinone-from-anthracene,1.1645016835716781e-07
deposited-core,0.0020000438391247974
empty-tholins-vessel,0.5697034056542631
bhoddos-spore-mk02,0.01873910948970721
navens-spore-sterilization,7.572772177765074e-08
raw-fiber,1.4983470664897502e-06
ground-sample01,4.273588848623401e-06
petri-dish,5.474108852003396e-05
breed-fish-4-agressive-selection,0.0008697617334702544
fish-food-02,0.0007019403588590218
breed-fish-4,30.78759706207324
carbon-black-phytoplankton,11.78002582509505
lab-instrument-2,1.0691758862637468e-05
arqad-jelly-02,0.011971748808847191
kmauts-cub-4-eye-out,5.119418708216091e-05
purine-analogues,2.5914197037658
arqad-propolis-02,0.0165344702311106
arthropod-blood-to-organic-solvent,0.00043637000107712553
cf2,0.5589911425363581
resorcinol,0.00019499968681768232
methane-methanal,0.0072385136350264214
ech,0.08156842747477196
lime,1.2141585047030026
fawogae-substrate,6.396977707223689e-06
pdms-graphene,0.0012477967077484853
pressured-hydrogen,3.077551062060709e-05
hot-stone-brick,0.00014099360971286238
proton-receiver,0.022722280589947772
molten-iron-05,7.003587688911824
b2o3-milling,4.424165097553961e-09
impure-gd,1.5955731422363745e-05
aromatics,0.0009740672813406294
dodecanoic-acid,0.0008929734423860939
melamine,0.0013799468753721111
hotair-zinc-plate-3,12.58204439378488
capacitor1,0.4088888464264463
inductor1-2,6.379653635679785e-07
resistor1,1.5470288766947706
pcb1,0.015372478392733414
vacuum-tube,9.419929478955994e-09
mukmoux-food-01,0.024034261144112473
mukmoux-food-02,0.0037818950880749
fecr-alloy-2,1.959018697227805e-06
melamine-resin,0.005433169301195668
hotair-casting-tin-cable,0.000372585675232615
al-pulp-01,1.3087203910325388e-08
ferrite,0.0001907598532577964
sic,0.010887475705868205
phenolicboard-with-laquer,0.000497874564581101
arqad-filled-honeycomb-4,9.807673689487642e-05
arthurian-cannibalism,0.35420684205951014
Scrondrix-Manure-4,53.026330202002235
pre-fiber-3,0.002278698027826191
plasmonic-core,0.003230813939274227
fluorophore,0.00024034334662404212
dieletric-layer,0.06718882291823867
methyl-acrylate-2,0.00032766608839631203
acrylonitrile-2,3.505612613456015e-06
frack-natural-gas,9.968346404195614e-08
xyhiphoe-cub-3-acetone,1.7475761835828424e-06
mechanical-parts-01,4.209383864919545
brake-mk02,0.013383567260930651
controler-mk02,0.00014150887952133116
electronics-mk02,1.512478190076133e-07
gearbox-mk02,0.007499031059355923
hotair-shaft-mk02,4.475568871744834e-05
utility-box-mk02,3.102916795839407e-06
heavy-oleo,1.0178256523442038e-05
cyanoacrylate,0.02416669730264423
pcb3,0.04935565726112839
tin-pulp-01,0.4416222432567525
crucible,1.4089941128859277e-05
molten-zinc-01,1.7192284348358493
fiberglass,5.780576133429605
clay,0.059661537719112166
molten-silver-01,1.657978087521732e-06
vinyl-acetate,0.3970756004766912
empty-neuromorphic-chip,0.04916056723817107
high-flux-core,3.245152215368785
hotair-casting-pipe,0.004775020595392355
hotair-casting-engine-unit,0.07832191345861332
latex,0.10463507540382741
carbon-black,0.0008724225978758303
polybutadiene,0.09710325099676873
styrene,1.9147285989006272e-05
green-sic,2.5968268907404058e-05
wax-honeycomb,0.008364228068976907
molten-tin-01,0.0006759308494016658
molten-chromium-01,0.0001992870575815639
bio-container,0.0036609998503928996
purest-nitrogen-gas,0.11896296465767238
perylene,0.00031049624360922253
cumene,0.0005326177089903264
3-diethylaminophenol,5.516880666712778
phthalic-anhydride,9.368391552335874e-07
propene,0.03756066315434895
dcm,0.0014340650642913012
petri-dish-bacteria,0.00014307175005710875
coated-container,9.287762511016016e-07
mother-liquor,5.0096055740857706e-05
fatty-acids-2,3.0625377980481454e-05
moss-gen,0.03708231944928648
plasmids,0.0013864539862238486
retrovirus-2,0.01680543037512202
pacifastin,5.970744270437911e-07
microcin-j25,0.006323383050735452
zungror-cocoon-3-rich-clay,9.225534868489175e-09
dhilmos-food-02,0.010760114933940362
frack-saline-water,1.0893875771117478e-06
